,0
9438,0
9456,0
9475,2
9478,0
9482,0
9490,1
9504,2
9512,2
9523,2
9530,0
9540,0
9542,1
9569,1
9586,2
9593,2
9602,2
9604,1
9606,1
9609,1
9614,0
9619,0
9624,2
9626,1
9632,0
9641,0
9663,0
9666,0
9670,0
9676,2
9679,2
9694,1
9702,1
9703,0
9723,1
9733,0
9747,2
9750,0
9752,1
9754,2
9762,1
9771,2
9793,2
9798,0
9810,1
9814,0
9816,1
9824,1
9831,1
9846,0
9854,2
9886,0
9888,2
9893,1
9910,1
9911,0
9914,0
9934,2
9947,1
9948,1
9969,0
9996,0
9998,0
10020,0
10027,1
10034,2
10040,0
10044,2
10048,0
10054,0
10056,0
10066,1
10067,0
10069,2
10085,0
10090,0
10092,1
10098,0
10105,0
10107,2
10109,2
10121,2
10122,0
10137,2
10150,2
10155,1
10158,0
10160,2
10172,0
10178,0
10180,0
10184,1
10214,0
10218,2
10220,0
10224,1
10225,0
10227,1
10233,0
10235,0
10236,0
10241,0
10262,2
10263,2
10266,2
10270,0
10272,1
10286,1
10320,0
10321,0
10335,1
10339,2
10345,1
10347,1
10350,0
10358,1
10367,1
10373,0
10376,2
10381,0
10383,2
10387,1
10392,1
10399,1
10402,0
10408,2
10438,1
10439,2
10442,2
10448,0
10453,0
10472,1
10476,1
10477,2
10485,1
10493,0
10497,1
10500,1
10504,1
10518,2
10525,0
10535,1
10536,1
10563,2
10572,0
10596,0
10604,0
10611,1
10615,1
10623,0
10632,0
10634,1
10639,1
10643,0
10645,2
10655,1
10665,0
10666,2
10667,0
10673,0
10675,2
10683,0
10690,2
10699,2
10708,2
10711,0
10717,2
10723,1
10725,2
10737,1
10741,0
10749,0
10751,1
10753,1
10765,1
10777,0
10778,2
10785,1
10788,1
10799,2
10805,1
10816,0
10821,0
10828,0
10832,2
10834,2
10836,1
10841,0
10844,1
10859,0
10865,0
10876,0
10886,1
10887,0
10894,1
10904,2
10911,0
10912,0
10921,1
10927,1
10940,1
10946,0
10952,0
10959,2
10961,2
10975,1
10982,0
10984,1
10987,1
10991,1
10998,0
11002,2
11003,0
11005,1
11006,0
11008,0
11009,0
11014,2
11018,2
11020,2
11021,2
11029,1
11035,1
11065,2
11069,0
11072,0
11073,1
11079,1
11083,0
11094,1
11100,1
11111,0
11121,0
11138,1
11140,0
11144,1
11157,1
11164,0
11170,2
11178,1
11183,0
11188,0
11189,0
11192,1
11200,2
11207,2
11208,0
11210,1
11220,1
11222,0
11233,1
11242,1
11249,0
11258,1
11263,0
11264,0
11266,0
11269,0
11271,0
11277,0
11278,0
11293,1
11309,2
11314,1
11316,1
11319,0
11323,2
11333,0
11340,1
11355,1
11364,1
11371,1
11373,2
11374,1
11379,0
11383,1
11385,0
11387,0
11391,1
11395,0
11399,2
11403,2
11410,0
11412,1
11421,2
11424,0
11428,0
11431,2
11432,0
11435,1
11449,1
11467,2
11475,2
11477,0
11487,0
11490,1
11499,1
11505,0
11516,1
11520,1
11534,0
11536,1
11542,0
11564,2
11575,0
11577,0
11580,1
11587,1
11593,1
11595,0
11598,2
11603,0
11608,2
11612,0
11613,1
11644,1
11648,2
11651,0
11656,0
11667,0
11674,1
11677,0
11707,0
11721,1
11730,1
11740,1
11744,0
11755,0
11765,1
11766,1
11769,0
11778,0
11779,0
11781,1
11784,0
11792,0
11794,1
11796,0
11799,2
11801,1
11805,0
11811,1
11826,0
11828,0
11829,2
11833,2
11835,0
11844,0
11854,2
11864,2
11878,0
11885,0
11888,2
11892,0
11894,1
11895,1
11903,0
11910,1
11913,2
11914,0
11916,1
11929,0
11930,0
11936,1
11938,0
11945,2
11946,1
11958,0
11963,0
11974,2
11975,2
11983,1
11985,0
11991,1
12000,2
12002,2
12017,0
12035,2
12045,0
12072,2
12077,0
12084,0
12086,0
12090,0
12093,0
12109,1
12117,0
12126,2
12128,0
12141,1
12146,0
12149,2
12158,0
12169,2
12188,0
12189,0
12201,1
12203,0
12207,0
12214,0
12226,2
12229,0
12237,1
12243,2
12248,2
12254,0
12259,0
12260,2
12262,0
12275,1
12278,0
12279,0
12289,0
12298,0
12301,0
12309,0
12315,0
12316,0
12331,2
12343,0
12352,0
