lipid,quantile,beta,p_value,conf_low,conf_high
hdl_cholesterol_mmol_L_log,Q9,0.02409401113113778,0.003518860520498079,0.007914380378905402,0.040273641883370154
hdl_cholesterol_mmol_L_log,Q10,0.024628140086721127,0.0019843059707612487,0.009021917315623644,0.04023436285781861
hdl_cholesterol_mmol_L_log,P_trend,,2.3682711785980835e-05,,
ldl_cholesterol_mmol_L,Q2,0.02418597861536279,0.4096247401145936,-0.03330818560630483,0.08168014283703041
ldl_cholesterol_mmol_L,Q3,0.06342344025414022,0.032473547345131665,0.005296856132025074,0.12155002437625537
ldl_cholesterol_mmol_L,Q4,-0.003344506012224325,0.9088415076627799,-0.06059940746788231,0.053910395443433665
ldl_cholesterol_mmol_L,Q5,0.016560873924856955,0.569916232444327,-0.04057173486514587,0.07369348271485977
ldl_cholesterol_mmol_L,Q6,0.032285075212034366,0.2708049029957846,-0.025180183375152786,0.08975033379922151
ldl_cholesterol_mmol_L,Q7,0.022790974358912065,0.43929920552441315,-0.034972281166857466,0.0805542298846816
ldl_cholesterol_mmol_L,Q8,-0.026612091534697006,0.3632822712941519,-0.08398826279360025,0.03076407972420623
ldl_cholesterol_mmol_L,Q9,-0.023411183248667734,0.41529388941592227,-0.0797427086505747,0.03292034215323923
ldl_cholesterol_mmol_L,Q10,-0.08322185731458587,0.0027656232071289364,-0.13771958182843141,-0.02872413280074032
ldl_cholesterol_mmol_L,P_trend,,0.000144156553355363,,
apolipoprotein_a_g_L_log,Q2,-0.005124653981023056,0.3981180029692446,-0.017012324027368603,0.006763016065322489
apolipoprotein_a_g_L_log,Q3,0.013089229953283398,0.033441312856642744,0.0010266723570351959,0.0251517875495316
apolipoprotein_a_g_L_log,Q4,0.004767394901346844,0.43059226494636904,-0.0070886499188337546,0.016623439721527442
apolipoprotein_a_g_L_log,Q5,0.0005308540984107301,0.9298861839637571,-0.01129524681068431,0.01235695500750577
apolipoprotein_a_g_L_log,Q6,0.0037987066507409006,0.5321798478380143,-0.008120920734739438,0.01571833403622124
apolipoprotein_a_g_L_log,Q7,0.015927443871236804,0.00891892634422741,0.003991262800225645,0.027863624942247964
apolipoprotein_a_g_L_log,Q8,0.008750117919973398,0.14963749551040736,-0.0031533544992107254,0.02065359033915752
apolipoprotein_a_g_L_log,Q9,0.019775042587826808,0.000939103419471448,0.008061156875891018,0.031488928299762596
apolipoprotein_a_g_L_log,Q10,0.01836526670485717,0.0014313654413869918,0.0070770920672078505,0.02965344134250649
apolipoprotein_a_g_L_log,P_trend,,4.672688224816141e-06,,
apolipoprotein_b_g_L,Q2,0.006803280961228625,0.4018397548270618,-0.00910332126867858,0.022709883191135833
apolipoprotein_b_g_L,Q3,0.016950467820812182,0.039060618206021414,0.0008510145423413738,0.033049921099282994
apolipoprotein_b_g_L,Q4,0.0008636456475916947,0.9150510111315333,-0.0150064865164392,0.01673377781162259
apolipoprotein_b_g_L,Q5,0.006142940096725552,0.4461546782468535,-0.009661974648830453,0.02194785484228156
apolipoprotein_b_g_L,Q6,0.008755532160779851,0.28094108115148875,-0.007161232163001168,0.02467229648456087
apolipoprotein_b_g_L,Q7,0.003759551803059952,0.6446240160391716,-0.012217256687035504,0.019736360293155408
apolipoprotein_b_g_L,Q8,-0.0062565785616946635,0.43959344415347135,-0.02212395561373058,0.009610798490341256
apolipoprotein_b_g_L,Q9,-0.0031011907300080746,0.6971031897571263,-0.018718370267881746,0.012515988807865596
